Date,SPX,GLD,USO,SLV,EUR/USD
2/22/2018,2703.959961,126.300003,12.59,15.66,1.228184
2/23/2018,2747.300049,126.139999,12.77,15.59,1.232666
2/26/2018,2779.600098,126.449997,12.86,15.68,1.228713
2/27/2018,2744.280029,125.129997,12.65,15.48,1.231557
2/28/2018,2713.830078,125,12.37,15.46,1.223032
03/01/18,2677.669922,124.720001,12.35,15.54,1.219126
03/02/18,2691.25,125.389999,12.37,15.56,1.227084
03/05/18,2720.939941,125.18,12.59,15.49,1.231542
03/06/18,2728.120117,126.529999,12.57,15.78,1.233654
03/07/18,2726.800049,125.720001,12.35,15.53,1.241665
03/08/18,2738.969971,125.419998,12.15,15.55,1.241465
03/09/18,2786.570068,125.540001,12.47,15.63,1.230663
03/12/18,2783.02002,125.540001,12.37,15.61,1.230875
3/13/2018,2765.310059,125.779999,12.24,15.61,1.233958
3/14/2018,2749.47998,125.699997,12.28,15.61,1.239234
3/15/2018,2747.330078,124.900002,12.34,15.45,1.237562
3/16/2018,2752.01001,124.599998,12.55,15.39,1.230921
3/19/2018,2712.919922,124.870003,12.55,15.39,1.228079
3/20/2018,2716.939941,124.309998,12.81,15.28,1.233685
3/21/2018,2711.929932,126.480003,13.18,15.65,1.22519
3/22/2018,2643.689941,125.980003,12.95,15.44,1.234766
3/23/2018,2588.26001,127.610001,13.28,15.58,1.232499
3/26/2018,2658.550049,128.279999,13.21,15.72,1.245749
3/27/2018,2612.620117,127.489998,13.08,15.57,1.240787
3/28/2018,2605,125.730003,13.04,15.36,1.231027
3/29/2018,2640.870117,125.790001,13.09,15.41,1.230285
04/02/18,2581.879883,127.260002,12.74,15.65,1.229271
04/03/18,2614.449951,126.300003,12.81,15.46,1.227853
04/04/18,2644.689941,126.449997,12.82,15.38,1.228682
04/05/18,2662.840088,125.800003,12.83,15.45,1.22516
04/09/18,2613.159912,126.82,12.77,15.56,1.23224
04/10/18,2656.870117,127.120003,13.25,15.62,1.236308
04/11/18,2642.189941,128.110001,13.45,15.69,1.237164
04/12/18,2663.98999,126.620003,13.52,15.52,1.23297
4/16/2018,2677.840088,127.629997,13.38,15.72,1.238513
4/17/2018,2706.389893,127.75,13.41,15.8,1.237317
4/18/2018,2708.639893,127.849998,13.88,16.18,1.237915
4/19/2018,2693.129883,127.599998,13.77,16.26,1.234553
4/23/2018,2670.290039,125.620003,13.92,15.67,1.220897
4/24/2018,2634.560059,126.230003,13.68,15.76,1.22414
4/25/2018,2639.399902,125.410004,13.72,15.61,1.217167
4/26/2018,2666.939941,124.970001,13.77,15.58,1.210962
4/30/2018,2648.050049,124.589996,13.8,15.38,1.208123
05/01/18,2654.800049,123.709999,13.61,15.24,1.199156
05/02/18,2635.669922,123.650002,13.67,15.42,1.1951
05/03/18,2629.72998,124.279999,13.82,15.46,1.198926
05/07/18,2672.629883,124.57,14.1,15.52,1.193374
05/08/18,2671.919922,124.589996,14.06,15.51,1.186789
05/09/18,2697.790039,124.330002,14.37,15.53,1.184722
05/10/18,2723.070068,125.18,14.41,15.74,1.191753
5/14/2018,2730.129883,124.489998,14.38,15.56,1.193118
5/16/2018,2725.780029,122.5438,14.4058,15.4542,1.182033
